Date Posted,Link,Text,Region
2/7/2020,https://www.poynter.org/?ifcn_misinformation=tencent-revealed-the-real-numbers-of-dead-people," Tencent revealed the real number of deaths.		",Europe
2/7/2020,https://www.poynter.org/?ifcn_misinformation=taking-chlorine-dioxide-helps-against-coronavirus," Taking chlorine dioxide helps fight coronavirus.		",Europe
2/7/2020,https://www.poynter.org/?ifcn_misinformation=this-video-shows-the-cause-of-cov," This video shows workmen uncovering a bat-infested roof in the US state of Florida in 2011.		",India
2/7/2020,https://www.poynter.org/?ifcn_misinformation=the-asterix-comic-books-and-the-simpsons-predicted-the-coronavirus-outbreak," The Asterix comic books and The Simpsons predicted the coronavirus outbreak.		",India
2/7/2020,https://www.poynter.org/?ifcn_misinformation=chinese-president-xi-jinping-visited-mosque-amid-coronavirus-outbreak-and-requested-the-people-of-the-muslim-community-to-pray-in-present-crisis," Chinese President Xi Jinping visited a mosque amid the coronavirus outbreak and asked the people of the Muslim community to pray about present crisis.		",India
2/7/2020,https://www.poynter.org/?ifcn_misinformation=china-seeks-court-approval-to-kill-over-20000-coronavirus-patients-to-stop-the-spread-of-the-outbreak," China seeks court approval to kill over 20,000 coronavirus patients to stop the spread of the outbreak.		",United States
2/8/2020,https://www.poynter.org/?ifcn_misinformation=people-were-screaming-in-wuhan-because-they-feared-the-coronavirus," A video shows people screaming in Wuhan because they feared the coronavirus.		",India
2/8/2020,https://www.poynter.org/?ifcn_misinformation=weed-kills-coronavirus-2," A video says weed kills coronavirus.		",India
2/8/2020,https://www.poynter.org/?ifcn_misinformation=coronavirus-found-in-broiler-chicken," Coronavirus has been found in broiler chicken.		",India
2/8/2020,https://www.poynter.org/?ifcn_misinformation=image-of-pakistani-prime-minister-imran-khan-and-chinese-president-xi-jinping-in-which-imran-khan-is-wearing-mask," In a photo of Pakistani Prime Minister Imran Khan and Chinese President Xi Jinping, Imran Khan is wearing a mask.		",India
2/8/2020,https://www.poynter.org/?ifcn_misinformation=autopsy-reveal-wuhan-doctor-was-murdered-in-his-sickbed," Autopsy reveals a Wuhan doctor was murdered in his sickbed.		",United States
2/8/2020,https://www.poynter.org/?ifcn_misinformation=says-the-2019-coronavirus-causes-sudden-death-syndrome," The new coronavirus ""causes sudden death syndrome.""		",United States
2/9/2020,https://www.poynter.org/?ifcn_misinformation=coronavirus-is-caused-by-snakes," Coronavirus is caused by snakes.		",Europe
2/10/2020,https://www.poynter.org/?ifcn_misinformation=can-cannabis-cure-coronavirus," Can cannabis cure coronavirus?		",India
2/10/2020,https://www.poynter.org/?ifcn_misinformation=a-woman-infected-with-coronavirus-killed-by-chinese-police," A woman infected with the coronavirus was killed by Chinese police.		",India
2/10/2020,https://www.poynter.org/?ifcn_misinformation=garlic-water-can-cure-novel-coronavirus," Garlic water can cure novel coronavirus.		",India
2/10/2020,https://www.poynter.org/?ifcn_misinformation=coronavirus-is-found-in-broiler-chicken," Coronavirus is found in broiler chicken.		",India
2/10/2020,https://www.poynter.org/?ifcn_misinformation=bill-gates-predicted-coronavirus," Bill Gates predicted coronavirus.		",Europe
2/10/2020,https://www.poynter.org/?ifcn_misinformation=a-case-of-coronavirus-in-caserta," Bill Gates predicted coronavirus.		",Europe
2/10/2020,https://www.poynter.org/?ifcn_misinformation=in-2012-a-facebook-user-predicted-coronavirus-from-china," In 2012, a Facebook user predicted coronavirus from China.		",Europe
2/10/2020,https://www.poynter.org/?ifcn_misinformation=a-case-of-coronavirus-in-caserta-2," There is a case of coronavirus in Caserta.		",Europe
2/10/2020,https://www.poynter.org/?ifcn_misinformation=covid-19-was-stolen-from-canada-by-chinese-spies-and-accidentally-released-in-wuhan," COVID-19 was stolen from Canada by Chinese spies and accidentally released in Wuhan.		",Europe
2/10/2020,https://www.poynter.org/?ifcn_misinformation=a-case-of-coronavirus-in-andorra," There is a case of coronavirus in Andorra.		",Europe
2/10/2020,https://www.poynter.org/?ifcn_misinformation=a-child-from-china-has-coronavirus-in-galicia-spain," A child from China has coronavirus in Galicia, Spain.		",Europe
2/10/2020,https://www.poynter.org/?ifcn_misinformation=a-person-with-coronavirus-in-andorra-february-10th," A person with coronavirus is in Andorra on 2/10/20.		",Europe
2/10/2020,https://www.poynter.org/?ifcn_misinformation=satellite-images-showing-high-levels-of-sulphur-dioxide-above-china-are-possible-evidence-of-mass-cremations-of-people-who-have-died-from-coronavirus," Satellite images show high levels of sulphur dioxide above China are possible evidence of mass cremations of people who have died from coronavirus.		",Europe
2/11/2020,https://www.poynter.org/?ifcn_misinformation=can-pets-contaminate-humans-2," Pets can contaminate humans.		",Europe
2/11/2020,https://www.poynter.org/?ifcn_misinformation=people-lying-on-the-ground-in-china-because-they-got-coronavirus," People are lying on the ground in China because they contracted the coronavirus.		",Europe
2/11/2020,https://www.poynter.org/?ifcn_misinformation=can-pets-contaminate-humans," Cats and dogs can be infected and can contaminate humans with COVID-19.		",Europe
2/11/2020,https://www.poynter.org/?ifcn_misinformation=cats-and-dogs-can-be-infected-and-can-contaminate-humans-with-covid-19," Cats and dogs can be infected and can contaminate humans with COVID-19.		",Europe
2/11/2020,https://www.poynter.org/?ifcn_misinformation=coronavirus-infected-chicken-found-in-bengaluru," Coronavirus-infected chicken has been found in Bengaluru, India.		",India
2/11/2020,https://www.poynter.org/?ifcn_misinformation=videos-stating-that-25000-chinese-are-being-killed," Videos state that 25,000 Chinese are being killed.		",India
2/11/2020,https://www.poynter.org/?ifcn_misinformation=people-in-wuhan-locked-inside-their-houses-by-the-chinese-goverment," People in Wuhan are locked inside their houses by the Chinese government.		",India
2/11/2020,https://www.poynter.org/?ifcn_misinformation=breaking-uk-prepares-for-full-lockdown-after-hundreds-of-new-cases-wuhan-super-virus-updates," ""Breaking",United States
2/12/2020,https://www.poynter.org/?ifcn_misinformation=will-the-coronavirus-epidemic-disappear-in-april-thanks-to-the-heat-as-donald-trump-said," The coronavirus epidemic will disappear in April thanks to the heat, as President Donald Trump said.		",Europe
2/12/2020,https://www.poynter.org/?ifcn_misinformation=police-publicly-kill-a-coronavirus-infected-woman-in-china," Police publicly kill a coronavirus-infected woman in China.		",India
2/12/2020,https://www.poynter.org/?ifcn_misinformation=the-chinese-have-begun-to-use-their-human-corpes-to-process-into-products-such-as-corned-beef-to-ship-to-africa-please-share-with-your-contacts-very-important," ""THE CHINESE HAVE BEGUN TO USE THEIR HUMAN CORPSE TO PROCESS INTO PRODUCTS SUCH AS CORNED BEEF TO SHIP TO AFRICA. Please share with your contacts. Very important""		",India
2/12/2020,https://www.poynter.org/?ifcn_misinformation=china-is-seeking-courts-approval-to-kill-20000-people-positive-with-coronavirus," China is seeking court's approval to kill 20,000 people positive with coronavirus		",India
2/12/2020,https://www.poynter.org/?ifcn_misinformation=china-seeks-courts-approval-to-kill-20000-coronavirus-patients-2," China seeks court's approval to kill 20,000 coronavirus patients.		",India
2/12/2020,https://www.poynter.org/?ifcn_misinformation=hand-sanitizer-form-2010-is-labeled-against-coronavirus-2019-ncov," Hand sanitizer form 2010 is labeled against COVID-19.		",Europe
